id	en	sv		
27701	Mother Love Bone	Mother_Love_Bone		
27702	Monica Nordquist	Monica_Nordquist		
27703	Mo i Rana	Mo_i_Rana		
27704	Minivan	Minibuss		
27705	List of supporting Harry Potter characters	Mindre_rollfigurer_i_Harry_Potter		
27706	Millwall F.C.	Millwall_FC		
27707	Mercedes-Benz 600	Mercedes-Benz_W100		
27708	McDonnell Douglas F-15 Eagle	McDonnell_Douglas_F-15_Eagle		
27709	Masashi Kishimoto	Masashi_Kishimoto		
27710	Marsch	Marsch		
27711	Cufflink	Manschettknappar		
27712	Malte	Malte		
27713	Macro photography	Makrofotografi		
27714	Macromedia	Macromedia		
27715	MTU	MTU		
27716	Linda Gray	Linda_Gray		
27717	Latrine	Latrin		
27718	Lars Gullin	Lars_Gullin		
27719	Lamborghini Estoque	Lamborghini_Estoque		
27720	The Voyage of the Dawn Treader	Kung_Caspian_och_skeppet_Gryningen		
27721	Kundalini	Kundalini		
27722	Kreuger family	Kreuger		
27723	Kora (instrument)	Kora		
27724	Counterintelligence	Kontraspionage		
27725	Consul (representative)	Konsulat_(diplomati)		
27726	Art museum	Konstmuseum		
27727	Kilometres per hour	Kilometer_per_timme		
27728	Telecommunication	Telekommunikation		
27729	Physiology	Fysiologi		
27730	Biogeography	Biogeografi		
27731	Disaster film	Katastroffilm		
27732	Jumpstyle	Jumpstyle		
27733	John Turturro	John_Turturro		
27734	Joey (TV series)	Joey		
27735	Jaqee	Jaqee		
27736	Jack Lemmon	Jack_Lemmon		
27737	Ithaca	Ithaka		
27738	Inga Landgré	Inga_Landgré		
27739	Ogier the Dane	Holger_Danske		
27740	Hex editor	Hexeditor		
27741	Henry II of England	Henrik_II_av_England		
27742	HAL	Hal		
27743	Dawn	Gryning		
27744	European Herring Gull	Gråtrut		
27745	Git (software)	Git		
27746	George II of Great Britain	Georg_II_av_Storbritannien		
27747	Göteborgsoperan	Göteborgsoperan		
27748	Frillesås	Frillesås		
27749	Freak	Freak		
27750	Miss	Fröken		
27751	Computer font	Font		
27752	Fishing cat	Fiskarkatt		
27753	Filipstad Municipality	Filipstads_kommun		
27754	Cattle grid	Färist		
27755	Eric Ericson (actor)	Eric_Ericson_(skådespelare)		
27756	Eric Ericson	Eric_Ericson_(dirigent)		
27757	Erbil International Airport	Erbil_International_Airport		
27758	Enköpings SK	Enköpings_SK_Fotboll		
27759	Eagles of Death Metal	Eagles_of_Death_Metal		
27760	Duloxetine	Duloxetin		
27761	Clove hitch	Dubbelt_halvslag		
27762	Dragostea din tei	Dragostea_din_tei		
27763	Downing Street	Downing_Street		
27764	Dominic West	Dominic_West		
27765	Djimon Hounsou	Djimon_Hounsou		
27766	Divan (furniture)	Divan_(möbel)		
27767	Dexamethasone	Dexametason		
27768	Detox (Dr. Dre album)	Detox		
27769	Dervish	Dervisch		
27770	Deccan (disambiguation)	Dekan		
27771	David Morse (actor)	David_Morse		
27772	Dave Edmunds	Dave_Edmunds		
27773	Daugava (album)	Daugava_(musikalbum)		
27774	Darkthrone	Darkthrone		
27775	Dancer in the Dark	Dancer_in_the_Dark		
27776	DHA	DHA		
27777	Cube (film)	Cube		
27778	Coupling (UK TV series)	Coupling		
27779	Christian Günther	Christian_Günther		
27780	Centralbron	Centralbron		
27781	Carl Weathers	Carl_Weathers		
27782	Bright Eyes (band)	Bright_Eyes_(musikgrupp)		
27783	Bridget Marquardt	Bridget_Marquardt		
27784	Brad Delson	Brad_Delson		
27785	Bobbysocks!	Bobbysocks		
27786	Bobby Darin	Bobby_Darin		
27787	Bizzy Bone	Bizzy_Bone		
27788	Bildt	Bildt		
27789	Pardon	Benådning		
27790	Barbi Benton	Barbi_Benton		
27791	Barbarossa	Barbarossa		
27792	Boat building	Båtbyggnad		
27793	Autonomist Marxism	Autonomism		
27794	Author citation (botany)	Auktorsnamn		
27795	Anita Pallenberg	Anita_Pallenberg		
27796	Andy McCoy	Andy_McCoy		
27797	Andrea	Andrea		
27798	Andaman and Nicobar Islands	Andamanerna_och_Nikobarerna		
27799	Anaheim	Anaheim		
27800	Can't Hardly Wait	Alla_var_där		
27801	Ali (disambiguation)	Ali		
27802	Alfa Romeo 156	Alfa_Romeo_156		
27803	Alexa Internet	Alexa_Internet		
27804	Aspic	Aladåb		
27805	Activism	Aktivism		
27806	Ahura Mazda	Ahura_Mazda		
27807	Lycaon pictus	Afrikansk_vildhund		
27808	German cruiser Admiral Hipper	Admiral_Hipper		
27809	Adana	Adana		
27810	Ad libitum	Ad_libitum		
27811	Abarth	Abarth		
27812	A Camp	A_Camp		
27813	03/01/08	8_mars		
27814	04/01/07	7_april		
27815	03/01/03	3_mars		
27816	Hutchison 3G	3_(varumärke)		
27817	33	33		
27818	01/01/30	30_januari		
27819	08/01/23	23_augusti		
27820	06/01/01	1_juni		
27821	07/01/18	18_juli		
27822	1853	1853		
27823	1833	1833		
27824	1523	1523		
27825	05/01/10	10_maj		
27826	Åmotfors	Åmotfors		
27827	World in Conflict	World_in_Conflict		
27828	Wayne's World (film)	Wayne's_World		
27829	Beacon	Vårdkase		
27830	University of Cambridge	Universitetet_i_Cambridge		
27831	Trängregementet	Trängregementet		
27832	Thompson	Thompson		
27833	Ted Turner	Ted_Turner		
27834	Tantalus	Tantalos		
27835	Sverige (disambiguation)	Sverige_(olika_betydelser)		
27836	Svenstorp Castle	Svenstorps_slott		
27837	Storvreta	Storvreta		
27838	Stirling Moss	Stirling_Moss		
27839	Sten Bergman	Sten_Bergman		
27840	Stefan Pettersson (footballer)	Stefan_Pettersson_(fotbollsspelare)		
27841	Shooting sport	Sportskytte		
27842	Soot	Sot		
27843	Sköll	Skoll		
27844	Basilica di Santa Maria Maggiore	Santa_Maria_Maggiore		
27845	Rutherford B. Hayes	Rutherford_B._Hayes		
27846	Rude boy	Rude_boy		
27847	Swedish general election	Riksdagsvalet_i_Sverige_1998		
27848	Rabat	Rabat		
27849	Tom-tom drum	Puka		
27850	Plopp	Plopp		
27851	Orchestral Manoeuvres in the Dark	Orchestral_Manoeuvres_in_the_Dark		
27852	Nossebro	Nossebro		
27853	Mímisbrunnr	Mimers_brunn		
27854	Millard Fillmore	Millard_Fillmore		
27855	Microevolution	Mikroevolution		
27856	Melodifestivalen 1980	Melodifestivalen_1980		
27857	Maserati MC12	Maserati_MC12		
27858	Marky Ramone	Marky_Ramone		
27859	MS Mariella	M/S_Mariella		
27860	Luanda	Luanda		
27861	2008 in literature	Litteraturåret_2008		
27862	Lindesberg Municipality	Lindesbergs_kommun		
27863	History of Latvia	Lettlands_historia		
27864	Pallet	Lastpall		
27865	Quartet (disambiguation)	Kvartett		
27866	Kukri	Kukri		
27867	Kubb	Kubb_(spel)		
27868	Ketogenic diet	Ketogen_diet		
27869	Jacques Villeneuve	Jacques_Villeneuve		
27870	Haile Gebrselassie	Haile_Gebrselassie		
27871	Garm	Garm		
27872	Curtain	Gardin		
27873	Gamleby	Gamleby		
27874	Swedish Fortifications Agency	Fortifikationsverket		
27875	Ferrari 308 GTB/GTS	Ferrari_308		
27876	Ferdinand de Saussure	Ferdinand_de_Saussure		
27877	Lucchese crime family	Familjen_Lucchese		
27878	FC Trollhättan	FC_Trollhättan		
27879	Eurovision Song Contest 1991	Eurovision_Song_Contest_1991		
27880	Eriksdalsbadet	Eriksdalsbadet		
27881	Ella Enchanted (film)	Ella_den_förtrollade		
27882	Elisabeth Ohlson Wallin	Elisabeth_Ohlson_Wallin		
27883	Dwight Yorke	Dwight_Yorke		
27884	Da Möb	Da_Möb		
27885	Crash Test Dummies	Crash_Test_Dummies		
27886	Cineaste	Cineast		
27887	Carole King	Carole_King		
27888	Cannabis Cup	Cannabis_Cup		
27889	Börek	Burek		
27890	Braunau am Inn	Braunau_am_Inn		
27891	Hyoscyamus niger	Bolmört		
27892	Bollebygd	Bollebygd		
27893	Berg Municipality	Bergs_kommun		
27894	Berberis vulgaris	Berberis		
27895	Pelvic floor	Bäckenbotten		
27896	Azawakh	Azawakh		
27897	From each according to his ability	Av_var_och_en_efter_förmåga		
27898	Audi Q7	Audi_Q7		
27899	Anders Jonas Ångström	Anders_Jonas_Ångström		
27900	Allan Larsson	Allan_Larsson		
27901	Aladdin (TV series)	Aladdin_(TV-serie)		
27902	Östra Göinge Municipality	Östra_Göinge_kommun		
27903	Worms	Worms		
27904	Wes Craven	Wes_Craven		
27905	Wärtsilä	Wärtsilä		
27906	Equestrian vaulting	Voltige		
27907	Video Killed the Radio Star	Video_Killed_the_Radio_Star		
27908	VfB Stuttgart	VfB_Stuttgart		
27909	Venice	Venice		
27910	Velvet (disambiguation)	Velvet		
27911	Varyag	Varjag		
27912	Exhibition	Utställning		
27913	Unreal Tournament	Unreal_Tournament		
27914	University of California	University_of_California		
27915	University of California	University_of_California		
27916	Twist	Twist		
27917	Turandot (disambiguation)	Turandot		
27918	Michael Strogoff	Tsarens_kurir		
27919	Treo (drug)	Treo		
27920	Toxicology	Toxikologi		
27921	Razorbill	Tordmule		
27922	Toni Collette	Toni_Collette		
27923	Tomb Raider (1996 video game)	Tomb_Raider		
27924	Tobias Karlsson	Tobias_Karlsson		
27925	Tivoli	Tivoli		
27926	The Happening (2008 film)	The_Happening		
27927	The Elder Scrolls	The_Elder_Scrolls		
27928	The Darjeeling Limited	The_Darjeeling_Limited		
27929	A Series of Unfortunate Events	Syskonen_Baudelaires_olycksaliga_liv		
27930	Susanne Bier	Susanne_Bier		
27931	Vertigo (film)	Studie_i_brott		
27932	Stora Vika	Stora_Vika		
27933	Sterling	Sterling		
27934	Sten Elfström	Sten_Elfström		
27935	Steppenwolf (novel)	Stäppvargen		
27936	Spandau Ballet	Spandau_Ballet		
27937	Smålandsstenar	Smålandsstenar		
27938	Slippery When Wet	Slippery_When_Wet		
27939	Sleepwalker (2000 film)	Sleepwalker		
27940	Diocese of Skara	Skara_stift		
27941	Skandar Keynes	Skandar_Keynes		
27942	Pranger	Skampåle		
27943	Combine harvester	Skördetröska		
27944	Thyroid neoplasm	Sköldkörtelcancer		
27945	Siam Empire	Siam		
27946	Shooter (film)	Shooter		
27947	Shelby Mustang	Shelby_Mustang		
27948	Shayne Ward	Shayne_Ward		
27949	Sexual harassment	Sexuella_trakasserier		
27950	Sabra and Shatila massacre	Sabra_och_Shatila		
27951	SAN	SAN		
27952	Södra Sandby	Södra_Sandby		
27953	Rock Hudson	Rock_Hudson		
27954	Robert Weil	Robert_Weil		
27955	IBM Roadrunner	Roadrunner		
27956	Rik Mayall	Rik_Mayall		
27957	Rijeka	Rijeka		
27958	Rick Rubin	Rick_Rubin		
27959	Richard Hilton	Richard_Hilton		
27960	Rhineland	Rhenlandet		
27961	Rebecca Ferguson (actress)	Rebecca_Ferguson		
27962	Shaving	Rakning		
27963	RAF (disambiguation)	RAF		
27964	Putto	Putto		
27965	Przewalski's horse	Przewalski		
27966	Prosopopoeia	Prosopopoeia		
27967	Projectile	Projektil		
27968	Places in Harry Potter	Platser_i_Harry_Potter		
27969	Basque pelota	Pelota		
27970	Paradise Lost (band)	Paradise_Lost_(musikgrupp)		
27971	Old English Sheepdog	Old_english_sheepdog		
27972	Obafemi Martins	Obafemi_Martins		
27973	Novaya Zemlya	Novaja_Zemlja		
27974	Nizhny Novgorod	Nizjnij_Novgorod		
27975	Nile (band)	Nile		
27976	Monica Geller	Monica_Geller		
27977	Moloch	Molok		
27978	Moderna Tider (album)	Moderna_Tider_(musikalbum)		
27979	Model aircraft	Modellflyg		
27980	Miro Barešić	Miro_Barešić		
27981	Miranda	Miranda		
27982	Ministry (band)	Ministry		
27983	Millesgården	Millesgården		
27984	Project Mercury	Mercuryprogrammet		
27985	Masi Oka	Masi_Oka		
27986	Cornstarch	Maizena		
27987	MN	MN		
27988	Banns of marriage	Lysning		
27989	Luteinizing hormone	Luteiniserande_hormon		
27990	Cross of Lorraine	Lothringenkors		
27991	Los Angeles Lakers	Los_Angeles_Lakers		
27992	Live 8	Live_8		
27993	List of social nudity places in Europe	Lista_över_nakenbad_i_Europa		
27994	Limahl	Limahl		
27995	Little Belt	Lilla_Bält		
27996	Lilian Thuram	Lilian_Thuram		
27997	Lessebo	Lessebo		
27998	Great Grey Owl	Lappuggla		
27999	Card Sharks	Lagt_kort_ligger		
28000	Judaeo-Spanish	Ladino		
28001	Löfstad Castle	Löfstad_slott		
28002	Sloth bear	Läppbjörn		
28003	Cynicism (philosophy)	Kyniska_skolan		
28004	Royal Court of Sweden	Kungliga_Hovstaterna		
28005	Koskenkorva Viina	Koskenkorva_(dryck)		
28006	Cross stitch	Korsstygn		
28007	Countertenor	Kontratenor		
28008	Katherine Moennig	Katherine_Moennig		
28009	Ancient Rome	Romerska_riket		
28010	History of Europe	Europas_historia		
28011	Charles XII Bible	Karl_XII:s_bibel		
28012	Spatial anti-aliasing	Kantutjämning		
28013	Justin Hawkins	Justin_Hawkins		
28014	Johnny Torrio	Johnny_Torrio		
28015	Johnny Marr	Johnny_Marr		
28016	John Dolmayan	John_Dolmayan		
28017	Joel Rifkin	Joel_Rifkin		
28018	Jay-Jay Okocha	Jay-Jay_Okocha		
28019	Yalta	Jalta		
28020	Jack Wagner (actor)	Jack_Wagner		
28021	Isaiah Washington	Isaiah_Washington		
28022	Isabel Lestapier Winqvist	Isabel_Lestapier_Winqvist		
28023	Irving Berlin	Irving_Berlin		
28024	Into the Blue (2005 film)	Into_the_Blue		
28025	Internet Adult Film Database	Internet_Adult_Film_Database		
28026	Ingredient	Ingrediens		
28027	Indochinese tiger	Indokinesisk_tiger		
28028	Huvudsta	Huvudsta		
28029	Human physiology	Humanfysiologi		
28030	Viperidae	Huggormar		
28031	House of Wax (2005 film)	House_of_Wax		
28032	Hennessy	Hennessy		
28033	Secret Army (TV series)	Hemliga_armén		
28034	Helen (given name)	Helena_(namn)		
28035	Heinrich Müller (Gestapo)	Heinrich_Müller		
28036	Heimat (film)	Heimat		
28037	Hava Nagila	Hava_Nagila		
28038	Hanna-Barbera	Hanna-Barbera_Productions		
28039	Hammamet	Hammamet		
28040	Hölö	Hölö		
28041	Jönköping University Foundation	Högskolan_i_Jönköping		
28042	Haakon VI of Norway	Håkan_Magnusson		
28043	Håkan	Håkan		
28044	Yellowhammer	Gulsparv		
28045	Recoilless rifle	Granatgevär		
28046	Global	Global		
28047	Gastrin	Gastrin		
28048	Gary Gilmore	Gary_Gilmore		
28049	Game Maker	Game_Maker		
28050	Galilee	Galileen		
28051	Happy Days	Gänget_och_jag		
28052	Phytoestrogens	Fytoöstrogen		
28053	Physicist	Fysiker		
28054	Folsom State Prison	Folsom_State_Prison		
28055	Air traffic controller	Flygledare		
28056	Philistines	Filistéer		
28057	Fiat 124	Fiat_124		
28058	Barrel (unit)	Fat_(mått)		
28059	Faith Hill	Faith_Hill		
28060	Common Era	Före_vår_tideräkning		
28061	Exchangeable image file format	Exif		
28062	Eurovision Song Contest 2005	Eurovision_Song_Contest_2005		
28063	European Wildcat	Europeisk_vildkatt		
28064	Erotomania	Erotomani		
28065	Eric Stoltz	Eric_Stoltz		
28066	Emotivism	Emotivism		
28067	Emmaboda Municipality	Emmaboda_kommun		
28068	Ella Lemhagen	Ella_Lemhagen		
28069	Egon Kjerrman	Egon_Kjerrman		
28070	Ephemeris	Efemerid		
28071	Dudley Moore	Dudley_Moore		
28072	Doris Hopp	Doris_Hopp		
28073	Donna Leon	Donna_Leon		
28074	Diabetic coma	Diabeteskoma		
28075	Darren Hayes	Darren_Hayes		
28076	Danny Boyle	Danny_Boyle		
28077	Daphne	Dafne		
28078	Curtis Mayfield	Curtis_Mayfield		
28079	Crystal Palace F.C.	Crystal_Palace_FC		
28080	Crunk	Crunk		
28081	Commodore International	Commodore		
28082	Clara Petacci	Clara_Petacci		
28083	Citroën 2CV	Citroën_2CV		
28084	Chelsea	Chelsea		
28085	Centurion	Centurion		
28086	Burning Heart Records	Burning_Heart_Records		
28087	History of Burma	Burmas_historia		
28088	Raahe	Brahestad		
28089	Brålanda	Brålanda		
28090	Boston (band)	Boston_(musikgrupp)		
28091	Blood & Honour	Blood_and_Honour		
28092	Bingo (U.S.)	Bingo		
28093	Big Daddy (1999 film)	Big_Daddy		
28094	Bengal	Bengalen		
28095	Ben Kingsley	Ben_Kingsley		
28096	Beaufort scale	Beauforts_skala		
28097	Ballader och grimascher	Ballader_och_grimascher		
28098	Axel Wenner-Gren	Axel_Wenner-Gren		
28099	Attaché	Attaché		
28100	Askersund Municipality	Askersunds_kommun		
28101	Ashley Jones	Ashley_Jones		
28102	Arne Beurling	Arne_Beurling		
28103	History of Armenia	Armeniens_historia		
28104	Archive	Arkiv		
28105	Annie Hall	Annie_Hall		
28106	Ann Petrén	Ann_Petrén		
28107	Respiratory arrest	Andningsdepression		
28108	Flags of the Confederate States of America	Amerikas_konfedererade_staters_flagga		
28109	AltaVista	Altavista		
28110	Aloma Wright	Aloma_Wright		
28111	Ali (film)	Ali_(film		
28112	Alexander Kerensky	Aleksandr_Kerenskij		
28113	Adolf Jahr	Adolf_Jahr		
28114	Adewale Akinnuoye-Agbaje	Adewale_Akinnuoye-Agbaje		
28115	99 Luftballons	99_Luftballons		
28116	08/01/06	6_augusti		
28117	666 (disambiguation)	666_(olika_betydelser)		
28118	03/01/02	2_mars		
28119	06/01/29	29_juni		
28120	11/01/25	25_november		
28121	05/01/23	23_maj		
28122	03/01/22	22_mars		
28123	02/01/21	21_februari		
28124	2080s	2080-talet		
28125	2050s	2050-talet		
28126	04/01/18	18_april		
28127	1896	1896		
28128	1792	1792		
28129	11/01/16	16_november		
28130	03/01/10	10_mars		
28131	0 (number)	0_(tal)		
28132	Östervåla	Östervåla		
28133	Austrian School	Österrikiska_skolan		
28134	Garphyttan	Garphyttan		
28135	BK Forward	BK_Forward		
28136	1772	1772		
28137	Złoty	Złoty		
28138	V-1 flying bomb	V-1		
28139	Civil engineering	Väg-_och_vattenbyggnad		
28140	Uttar Pradesh	Uttar_Pradesh		
28141	Umeå FC	Umeå_FC		
28142	Warp knitting	Trikå		
28143	The Shins	The_Shins		
28144	Thage G. Peterson	Thage_G._Peterson		
28145	Duvet	Täcke		
28146	Svenska Sesam	Svenska_Sesam		
28147	Stjärnhov	Stjärnhov		
28148	Steve Guttenberg	Steve_Guttenberg		
28149	Cheval de frise	Spansk_ryttare		
28150	Smoke on the Water	Smoke_on_the_Water		
28151	Samba (ballroom dance)	Samba_(dans)		
28152	Pat Boone	Pat_Boone		
28153	Paris Saint-Germain F.C.	Paris_Saint-Germain_FC		
28154	Palmyra	Palmyra		
28155	Operation Artemis	Operation_Artemis		
28156	Norfolk Terrier	Norfolkterrier		
28157	Nissan Micra	Nissan_Micra		
28158	Neurosurgery	Neurokirurgi		
28159	Beak	Näbb		
28160	Motala ström	Motala_ström		
28161	Administrative law#Sweden	Migrationsdomstol		
28162	Manmohan Singh	Manmohan_Singh		
28163	Cavity magnetron	Magnetron		
28164	Mac Pro	Mac_Pro		
28165	Lomma Municipality	Lomma_kommun		
28166	LdB FC Malmö	LdB_FC		
28167	Quintessence (physics)	Kvintessens		
28168	Kvicksund	Kvicksund		
28169	Cultural history	Kulturhistoria		
28170	Chorale	Koral		
28171	Koblenz	Koblenz		
28172	José Bosingwa	José_Bosingwa		
28173	Jaguar S-Type	Jaguar_S-type		
28174	Imhotep	Imhotep		
28175	IK Oddevold	IK_Oddevold		
28176	Hypergiant	Hyperjätte		
28177	Sea salt	Havssalt		
28178	Hallunda metro station	Hallunda_(tunnelbanestation)		
28179	George I of Great Britain	Georg_I_av_Storbritannien		
28180	Floda	Floda		
28181	Fiesta	Fiesta		
28182	Fellingsbro	Fellingsbro		
28183	Eva Bonnier	Eva_Bonnier		
28184	Erik Johansson	Erik_Johansson		
28185	Gestation	Dräktighet		
28186	Deftones	Deftones		
28187	Corvette (disambiguation)	Corvette		
28188	Corona (disambiguation)	Corona		
28189	Chesney Hawkes	Chesney_Hawkes		
28190	Bomber	Bombflygplan		
28191	Bohusläns regemente	Bohusläns_regemente		
28192	Stream	Bäck_(vattendrag)		
28193	Asexual reproduction	Asexuell_förökning		
28194	Anton Strålman	Anton_Strålman		
28195	Alien Resurrection	Alien_återuppstår		
28196	09/01/27	27_september		
28197	Åva gymnasium	Åva_gymnasium		
28198	Yunnan	Yunnan		
28199	Yngve Gamlin	Yngve_Gamlin		
28200	Wowhead	Wowhead		
28201	Wolf (disambiguation)	Wolf		
28202	Wireshark	Wireshark		
28203	Winchester	Winchester		
28204	Winamp	Winamp		
28205	Wild Wild West	Wild_Wild_West		
28206	Wiesbaden	Wiesbaden		
28207	Wiener schnitzel	Wienerschnitzel		
28208	Wartburg	Wartburg		
28209	Waltzing Matilda	Waltzing_Matilda		
28210	Whitegoods	Vitvaror		
28211	Veberöd	Veberöd		
28212	Vansbro	Vansbro		
28213	Vader (band)	Vader		
28214	Västerås SK Fotboll	Västerås_SK_Fotboll		
28215	Resurrection	Uppståndelse		
28216	Ulf Linde	Ulf_Linde		
28217	U Thant	U_Thant		
28218	Tupolev Tu-95	Tupolev_Tu-95		
28219	TribalWars	Tribal_Wars		
28220	The Unit	The_Unit		
28221	The Sandman (Vertigo)	The_Sandman		
28222	The Rose (film)	The_Rose		
28223	The Hot Chick	The_Hot_Chick		
28224	The Embassy (band)	The_Embassy		
28225	The Bangles	The_Bangles		
28226	Doctor of Technology	Teknologie_doktor		
28227	Tavastia (historical province)	Tavastland		
28228	Tara	Tara		
28229	Communist Party of Sweden (1995)	Sveriges_kommunistiska_parti_(1995)		
28230	Superhero Movie	Superhero_Movie		
28231	Sudo	Sudo		
28232	Subway (restaurant)	Subway		
28233	Garter (stockings)	Strumpeband		
28234	Stridsvagn 74	Stridsvagn_74		
28235	Stray Cats	Stray_Cats		
28236	Eurasian Oystercatcher	Strandskata		
28237	Penal labour	Straffarbete		
28238	Stockmann	Stockmann		
28239	Illicium verum	Stjärnanis		
28240	Status quo ante bellum	Status_quo_ante_bellum		
28241	Stari Most	Stari_Most		
28242	Great Crested Newt	Större_vattensalamander		
28243	Sorbet	Sorbet		
28244	Sony Ericsson W810	Sony_Ericsson_W810		
28245	Solid Snake	Solid_Snake		
28246	Horse gait#Walk	Skritt		
28247	Stock Dove	Skogsduva		
28248	Great Crested Grebe	Skäggdopping		
28249	Signe Hasso	Signe_Hasso		
28250	Shakti	Shakti		
28251	Sfumato	Sfumato		
28252	Scream 3	Scream_3		
28253	Scott Weiland	Scott_Weiland		
28254	Schweppes (brand)	Schweppes		
28255	Sativa Rose	Sativa_Rose		
28256	Sara Paxton	Sara_Paxton		
28257	Rufus Wainwright	Rufus_Wainwright		
28258	Rolv Wesenlund	Rolv_Wesenlund		
28259	Revolutionary Communist Youth (Sweden)	Revolutionär_Kommunistisk_Ungdom		
28260	Detergent	Rengöringsmedel		
28261	SJ Rb	Rb-lok		
28262	Shoulder-fired missile	Raketgevär		
28263	Voice acting	Röstskådespelare		
28264	Quake 4	Quake_4		
28265	Quack Pack	Quack_Pack		
28266	German cruiser Prinz Eugen	Prinz_Eugen		
28267	Presidium	Presidium		
28268	Postgraduate education	Postgraduate_student		
28269	Pop punk	Poppunk		
28270	Pontus Norgren	Pontus_Norgren		
28271	Plural	Plural		
28272	Plectrum	Plektrum		
28273	Pierre Bengtsson	Pierre_Bengtsson		
28274	Peter Iwers	Peter_Iwers		
28275	Pernod Fils	Pernod		
28276	Paisley	Paisley		
28277	Oskarström	Oskarström		
28278	Orphei Drängar	Orphei_Drängar		
28279	Case Blue	Operation_Blå		
28280	Omertà	Omertà		
28281	New World Translation of the Holy Scriptures	Nya_världens_bibelöversättning		
28282	North German Confederation	Nordtyska_förbundet		
28283	Nissan 200SX	Nissan_200sx_S13		
28284	Nintendo Wi-Fi Connection	Nintendo_Wi-Fi_Connection		
28285	Nina Rochelle	Nina_Rochelle		
28286	Winged Victory of Samothrace	Nike_från_Samothrake		
28287	Nickel–metal hydride battery	Nickel-metallhydridackumulator		
28288	New Horizons	New_Horizons		
28289	Reductio ad Hitlerum	Nazistargumentet		
28290	Nanna	Nanna		
28291	Motel	Motell		
28292	Mikhail Kalashnikov	Michail_Kalasjnikov		
28293	Michael Ironside	Michael_Ironside		
28294	Michael Amott	Michael_Amott		
28295	Mianserin	Mianserin		
28296	Mercedes-Benz W220	Mercedes-Benz_W220		
28297	Mathias Fredriksson	Mathias_Fredriksson		
28298	Marcus Hasselborg	Marcus_Hasselborg		
28299	Mandy Smith	Mandy_Smith		
28300	MAP sensor	MAP-sensor		
28301	Faculty of Engineering (LTH)	Lunds_tekniska_högskola		
28302	Lost Highway (film)	Lost_Highway		
28303	Lohengrin (opera)	Lohengrin_(opera)		
28304	Lock	Lock		
28305	Lloyd Grant	Lloyd_Grant		
28306	List of South Park characters	Lista_över_rollfigurer_i_South_Park		
28307	List of Sony Ericsson products	Lista_över_Sony_Ericsson-produkter		
28308	Ligustrum vulgare	Liguster		
28309	Lidice	Lidice		
28310	Liam Howlett	Liam_Howlett		
28311	Pope Leo XIII	Leo_XIII		
28312	Leatherface	Leatherface		
28313	Laura Vandervoort	Laura_Vandervoort		
28314	Laura Pausini	Laura_Pausini		
28315	Lazarus of Bethany	Lasaros		
28316	Larry Bird	Larry_Bird		
28317	Lance Henriksen	Lance_Henriksen		
28318	Willow Warbler	Lövsångare		
28319	Kursk	Kursk		
28320	Kreator	Kreator		
28321	Crusader states	Korsfararstaterna		
28322	Andean Condor	Kondor		
28323	Cardigan (sweater)	Kofta		
28324	Body louse	Klädlus		
28325	Keri Sable	Keri_Sable		
28326	Strength training	Styrketräning		
28327	Casper (name)	Kasper		
28328	Karl Johans gate	Karl_Johans_gate		
28329	Chancery (medieval office)	Kansli		
28330	KK	KK		
28331	Copenhagen Central Station	Københavns_Hovedbanegård		
28332	Kelson	Kölsvin		
28333	Kävlinge	Kävlinge		
28334	Vasculitis	Kärlinflammation		
28335	Junkers Ju 88	Junkers_Ju_88		
28336	Jonas Jacobsson	Jonas_Jacobsson		
28337	Jet fuel	Jetbränsle		
28338	Jerry Hall	Jerry_Hall		
28339	Jan Eriksson	Jan_Eriksson_(fotbollsspelare)		
28340	Jabba the Hutt	Jabba_the_Hutt		
28341	Jörgen Pettersson (footballer)	Jörgen_Pettersson_(fotbollsspelare)		
28342	Isabel Martínez de Perón	Isabel_Perón		
28343	Ingrid von Rosen	Ingrid_von_Rosen		
28344	Engineering	Ingenjörsvetenskap		
28345	Indonesian language	Indonesiska		
28346	Imre Nagy	Imre_Nagy		
28347	Hybrid Theory	Hybrid_Theory		
28348	Hussein of Jordan	Hussein_av_Jordanien		
28349	High Fidelity (film)	High_Fidelity_(film)		
28350	Hemse	Hemse		
28351	Helsingin Sanomat	Helsingin_Sanomat		
28352	Hawker Hunter	Hawker_Hunter		
28353	Hawaii (island)	Hawaii_(ö)		
28354	Hanson	Hanson		
28355	Cist	Hällkista		
28356	Gutasaga	Gutasagan		
28357	Grand Theft Auto: Liberty City Stories	Grand_Theft_Auto:_Liberty_City_Stories		
28358	Grammy Award	Grammy_Award		
28359	Gary Sundgren	Gary_Sundgren		
28360	Garrett Hedlund	Garrett_Hedlund		
28361	Garage rock	Garagerock		
28362	Old World	Gamla_världen		
28363	Galleon	Galeon		
28364	Gagnef	Gagnef		
28365	Frederick III of Denmark	Fredrik_III_av_Danmark		
28366	Franz Stangl	Franz_Stangl		
28367	Frank (given name)	Frank		
28368	Norse religion	Fornnordisk_religion		
28369	Ford Scorpio	Ford_Scorpio		
28370	Naval fleet	Flotta		
28371	1997 in film	Filmåret_1997		
28372	Female dominance	Femdom		
28373	Fear of the Dark (Iron Maiden album)	Fear_of_the_Dark		
28374	Eternity	Evighet		
28375	Evelyn (name)	Evelina		
28376	Common Snipe	Enkelbeckasin		
28377	The Family Man	En_andra_chans		
28378	Elle Fanning	Elle_Fanning		
